_pathTag,"Test Case Description",Priority,"Can Automate","Is Automated","Validation points","Test Step Description"
,"Create/ Add new company with company's name is already in use",Medium,false,true,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Switch Organization&quot; </li><li>Click on the &quot;Create a new company&quot; button</li><li>Input company&#39;s name and company&#39;s description. (company&#39;s name is already in use)</li><li>Click on the &quot;Create&quot; button</li>"
,"Create/ Add new company with the account that was sent the invitation",Medium,false,true,,"<li>Login with an invited account</li><li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Switch Organization&quot; </li><li>Click on the &quot;Create a new company&quot; button</li><li>Input company&#39;s name and company&#39;s description. </li><li>Click on the &quot;Create&quot; button</li>"
,"Update company's name with company's name is already in use",High,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Input new company&#39;s name  (company&#39;s name is already in use)</li><li>Click on the &quot;Save&quot; button</li>"
,"Update company's name with company's name is not already in use",High,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Input new company&#39;s name (company&#39;s name is not already in use)</li><li>Click on the &quot;Save&quot; button</li>"
,"Update company's description",Medium,true,true,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Input new company&#39;s description.</li><li>Click on the &quot;Save&quot; button</li>"
,"Update company's logo",Medium,true,true,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Click on &quot;Company&quot; logo and select new logo to upload.</li><li>Click on the &quot;Save&quot; button</li>"
,"Verify 'Owner' can create group without name",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Click on the &quot;Add group button&quot;</li>"
,"Verify 'Owner' can update group name",Low,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select &quot;Group&quot; to rename </li><li>Click on the &quot;Down arrow&quot; icon</li><li>Input new group&#39;s name</li>"
,"Verify 'Owner' can delete group",High,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select &quot;Group&quot; to delete.</li><li>Click on the &quot;Down arrow&quot; icon</li><li>Click on the &quot;Delete&quot; button to delete group</li>"
,"Verify 'Owner' can add a member to a group access",High,true,,"- User is added to group access can see view of that group",
,"Verify 'Owner' can remove member out of group access",High,true,,"- User is removed can't see view of that group",
,"Verify 'Owner' can update payment infomation",High,true,,"- User in group",
,"Verify 'Owner' can assign a view to group access",High,true,,"- ",
,"Verify 'Admin' can create group without name",Medium,true,,,
,"Verify 'Admin' can update group name",Low,true,,,
,"Verify 'Admin' can delete group",High,true,,,
,"Verify 'Admin' can add a member to a group access",High,true,,"- User is added to group access can see view of that group",
,"Verify 'Admin' can remove member out of group access",High,true,false,"- User is removed can't see view of that group",
,"Verify sort function at 'Edit group & access' works",Low,false,false,,
,"Find a group by entering any 1 character",Low,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Entering any 1 character into &quot;Find a group&quot; flied.</li>"
,"Verify 'Owner' can invite member by entering unregisted email",High,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to add member</li><li>Click on &quot;Add member&quot; button</li><li>Input Email you want to invite (email is not already in use)</li><li>Click on &quot;Invite&quot; button</li>"
,"Find a member by input email is already in group",Low,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Entering email of member (email is already in group)</li>"
,"Find a member by input email is not already in group",Low,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Entering email of member (email is not already in group)</li>"
,"Find a member by entering any some characters",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Entering some characters into &quot;Find a member&quot; flied.</li>"
,"Search View by input view's name",Low,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Input View&#39;s name</li>"
,"Sort project to a-z and vice versa",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Click on &quot;Sort workspace&quot; icon and select &quot;down arrow&quot; to sort a-z</li>"
,"Sort Databases to a-z",Low,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Click on &quot;Sort database&quot; icon and select &quot;down arrow&quot; to sort a-z</li>"
,"Sort Databases to z-a",Low,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Click on &quot;Sort database&quot; icon and select &quot;up arrow&quot; to sort z-a</li>"
,"Sort grids to a-z",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Click on &quot;Sort grid&quot; icon and select &quot;down arrow&quot; to sort a-z</li>"
,"Sort grids to z-a
",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Click on &quot;Sort grid&quot; icon and select &quot;up arrow&quot; to sort z-a</li>"
,"Sort views to a-z",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Click on &quot;Sort grid&quot; icon and select &quot;down arrow&quot; to sort a-z</li>"
,"Sort views to z-a",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Group&quot; tab</li><li>Select any group you want to grant access</li><li>Click on &quot;Edit Group &amp; Access&quot; button.</li><li>Click on &quot;Sort view&quot; icon and select &quot;up arrow&quot; to sort z-a</li>"
,"Add new role",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Company role&quot; tab</li><li>Click on the &quot;Add role&quot; button.</li>"
,"Delete role",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Company role&quot; tab</li><li>Select &quot;Role&quot; to delete.</li><li>Click on the &quot;Down arrow&quot; icon</li><li>Click on the &quot;Delete&quot; button to delete Role.</li>"
,"Rename role",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Company role&quot; tab</li><li>Select &quot;Role&quot; to rename.</li><li>Click on the &quot;Down arrow&quot; icon</li><li>Entering new role&#39;s name</li>"
,"Find a role by input any characters",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Company role&quot; tab</li><li>Entering any characters into &quot;Find a role&quot; flied.</li>"
,"Find a role by input full role's name",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Company role&quot; tab</li><li>Entering full role&#39;s name into &quot;Find a role&quot; flied.</li>"
,"Find a member in company by input any characters ",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Entering any characters into &quot;Find a member&quot; flied.</li>"
,"Find a member in company by input full member's name",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Entering full member&#39;s name &quot;Find a member&quot; flied.</li>"
,"Add filter member to role is ""All Roles""",Low,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;All Roles&quot; in filter field</li>"
,"Add filter member to role is ""Owner"" role",Low,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;Owner&quot; in &quot;filter to role&quot; field</li>"
,"Add filter member to role is ""Admin"" role",Low,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;Admin&quot; in &quot;filter to role&quot; field</li>"
,"Add filter member to role is ""User"" role",Low,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;User&quot; in &quot;filter to role&quot; field</li>"
,"Add filter member to status is ""All status""",Low,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;All Status&quot; in &quot;filter to Status&quot; field</li>"
,"Add filter member to status is ""Active""",Low,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;Active&quot; in &quot;filter to Status&quot; field</li>"
,"Add filter member to status is ""Inactive""",Low,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;Inactive&quot; in &quot;filter to Status&quot; field</li>"
,"Add filter member to status is ""Pending invitation""",Low,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;Pending invitation&quot; in &quot;filter to Status&quot; field</li>"
,"Add filter member to status is ""Pending approval""",Low,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select &quot;Pending approval&quot; in &quot;filter to Status&quot; field</li>"
,"Sort member's name to a-z",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Click on the &quot;Sort member&#39;s name&quot; icon and select sort icon is &quot;Down arrow&quot; to sort a-z.</li>"
,"Sort member's name to z-a",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Click on the &quot;Sort member&#39;s name&quot; icon and select sort icon is &quot;Up arrow&quot; to sort z-a.</li>"
,"Sort Company role to a-z",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Click on the &quot;Sort company&#39;s name&quot; icon and select sort icon is &quot;Down arrow&quot; to sort a-z.</li>"
,"Sort Company role to z-a",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Click on the &quot;Sort company&#39;s name&quot; icon and select sort icon is &quot;Up arrow&quot; to sort z-a.</li>"
,"Sort Status to a-z",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Click on the &quot;Sort status&#39;s name&quot; icon and select sort icon is &quot;Down arrow&quot; to sort a-z.</li>"
,"Sort Status to z-a",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Click on the &quot;Sort status&#39;s name&quot; icon and select sort icon is &quot;Up arrow&quot; to sort z-a.</li>"
,"Setting status of members to active",High,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select member to setting status.</li><li>Click on the &quot;three dot&quot; icon add select &quot;Active member&quot; </li><li>Click on the &quot;Active&quot; in popup to confirm action.</li>"
,"Setting status of members to Inactive",High,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select member to setting status.</li><li>Click on the &quot;three dot&quot; icon add select &quot;Inactive member&quot; </li><li>Click on the &quot;Inactive&quot; in popup to confirm action.</li>"
,"Set project role to 'Creator'",High,false,false,"- User will receive full privilege of 'Creator'","<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select member to view all grant access</li><li>Select new role for member is &quot;Viewer&quot;by click on the &quot;down arrow&quot;</li>"
,"Set project role to 'Editor'",High,false,false,"- User will receive full privilege of 'Editor'","<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select member to view all grant access</li><li>Select new role for member is &quot;Editor&quot;by click on the &quot;down arrow&quot;</li>"
,"Find a group by input any characters of group's name",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Entering any characters of group&#39;s name into &quot;Find a group&quot; flied</li>"
,"Find a group by input full group's name",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Entering full group&#39;s name into &quot;Find a group&quot; flied</li>"
,"Search view by input any characters of view's name",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Entering any characters of view&#39;s name into &quot;Search&quot; flied to search group</li>"
,"Search view by input full view's name",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Entering full view&#39;s name into &quot;Search&quot; flied to search group</li>"
,"Set project role to 'Translator'",High,false,false,"- User will receive full privilege of 'Translator'","<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select member to view all grant access</li><li>Select new role for member is &quot;Editor&quot;by click on the &quot;down arrow&quot;</li>"
,"Set project role to 'Viewer'",High,false,false,"- User will receive full privilege of 'Viewer'","<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Organization Setting&quot; </li><li>Select &quot;Members&quot; tab</li><li>Select member to view all grant access</li><li>Select new role for member is &quot;Viewer&quot;by click on the &quot;down arrow&quot;</li>"
,"Sort databases to a-z",Low,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Click on the &quot;Sort database&quot; icon </li><li>Select &quot;Up arrow&quot; to sort a-z</li>"
,"Sort databases to z-a",Low,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Click on the &quot;Sort database&quot; icon </li><li>Select &quot;Up arrow&quot; to sort z-a</li>"
,"Sort grids to a-z",Low,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Click on the &quot;Sort grid&quot; icon </li><li>Select &quot;Up arrow&quot; to sort a-z</li>"
,"Sort grids to z-a",Low,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Click on the &quot;Sort grid&quot; icon </li><li>Select &quot;Up arrow&quot; to sort z-a</li>"
,"Sort views to a-z",Low,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Click on the &quot;Sort view&quot; icon </li><li>Select &quot;Up arrow&quot; to sort a-z</li>"
,"Sort views to z-a",Low,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Click on the &quot;Create Group&quot; button to create a new group</li><li>Click on the &quot;Sort view&quot; icon </li><li>Select &quot;Up arrow&quot; to sort z-a</li>"
,"Send invitation to the account already in use with ""User"" role and not select ""Translation Language"" and select Group to access",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Entering &quot;Email&quot; you want to send invitation and set role is &quot;User&quot; </li><li>Select a group to grant access</li><li>Click on &quot;Invite&quot; button</li>"
,"""Send invitation to the account already in use with ""User"" role and select ""Translation Language"" and select Group to access",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Entering &quot;Email&quot; you want to send invitation and set role is &quot;User&quot; </li><li>Select any language in &quot;Translation language&quot; for account</li><li>Select a group to grant access</li><li>Click on &quot;Invite&quot; button</li>"
,"""Send invitation to the account already in use with ""User"" role and not select ""Translation Language"""" and select group to access",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Entering &quot;Email&quot; you want to send invitation and set role is &quot;User&quot; (Email already in use)</li><li>Select a group to grant access</li><li>Click on &quot;Invite&quot; button</li>"
,"""Send invitation to the account not already in use with ""User"" role and select ""Translation Language"" and select Group to access",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Entering &quot;Email&quot; you want to send invitation and set role is &quot;User&quot; (email not already in use)</li><li>Select any language in &quot;Translation language&quot; for account</li><li>Select a group to grant access</li><li>Click on &quot;Invite&quot; button</li>"
,"Send invitation to the account not already in use with ""Admin"" role and select group to access",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Entering &quot;Email&quot; you want to send invitation and set role is &quot;admin&quot; (email not already in use) </li><li>Select a group to grant access</li><li>Click on &quot;Invite&quot; button</li>"
,"Send invitation to the account already in use with ""Admin"" role and select group to access",,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Invite member&quot; button</li><li>Entering &quot;Email&quot; you want to send invitation and set role is &quot;Admin&quot; (Email already in use)</li><li>Select a group to grant access</li><li>Click on &quot;Invite&quot; button</li>"
Permission,"Verify 'Owner' can create a project",High,true,true,,
Permission,"Verify 'Owner' can rename a project",Medium,true,true,,
Permission,"Verify 'Owner' can delete a project",Medium,true,true,,
Project,"View information (Name , Description, Author, Create date...)",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Detail&quot; button</li><li>Select &quot;About&quot;</li><li>View information of the database such as Name, Description, Author, create date...</li>"
Project,"Edit description of workspace in about",High,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Detail&quot; button</li><li>Select &quot;About&quot;</li><li>Entering new description for workspace</li>"
Project,"View all Group and all member",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Detail&quot; button</li><li>Select &quot;Group &amp; members&quot;</li><li>View all group and all member </li>"
Project,"Find a member by input any character of member's name",Medium,false,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Detail&quot; button</li><li>Select &quot;Group &amp; members&quot;</li><li>Entering any character of member&#39;s name into &quot;Find a member&quot; flied</li>"
Project,"Find a member by input full member's name",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Detail&quot; button</li><li>Select &quot;Group &amp; members&quot;</li><li>Entering full member&#39;s name into &quot;Find a member&quot; flied</li>"
Permission,"Verify 'Owner' can create database",High,true,true,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Add Database&quot; button.</li><li>Entering name for database</li>"
Permission,"Verify 'Owner' can rename database",Medium,true,true,,
Permission,"Verify 'Owner' can delete database",Medium,true,true,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select database want to delete</li><li>Click on the &quot;three dot&quot; button</li><li>Select &quot;Delete&quot; button</li>"
Grid/Column,"Copy column have data type is ""Single line"" to ""Multiple Lines""",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Single column&quot;</li><li>Paste column header to column have data type is &quot;Multiple column&quot;</li>"
Grid/Column,"Copy column have data type is ""Single line"" to ""Rich Text""",Medium,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Select grid you want to access</li><li>Access to &quot;Grid&quot; screen.</li><li>Copy column header have data type is &quot;Single column&quot;</li><li>Paste column header to column have data type is &quot;Rich Text&quot;</li>"
